Tabuleiro (amostra, seed=42):
. Q . . . . . .
Q . . . . . Q Q
. . . . . Q . .
. . . Q Q . . .
. . Q . . . . .
. . . . . . . .
. . . . . . . .
. . . . . . . .
Conflitos: 10

HC-Sideways
Trial | Sucesso | Tempo(ms) | Passos | Laterais | conflicts_start | conflicts_final
------+---------+-----------+--------+----------+-----------------+----------------
1     | sim     | 1.253     | 6      | 1        | 10              | 0              
2     | sim     | 4.939     | 24     | 19       | 11              | 0              
3     | não     | 22.906    | 103    | 100      | 4               | 1              
4     | sim     | 0.867     | 4      | 1        | 6               | 0              
5     | sim     | 9.477     | 43     | 39       | 5               | 0              
6     | não     | 24.946    | 103    | 100      | 11              | 1              
7     | sim     | 1.261     | 3      | 1        | 4               | 0              
8     | não     | 1.353     | 3      | 0        | 9               | 1              
9     | sim     | 6.201     | 27     | 23       | 7               | 0              
10    | sim     | 0.835     | 4      | 0        | 6               | 0              
11    | sim     | 1.723     | 8      | 3        | 10              | 0              
12    | sim     | 0.843     | 4      | 0        | 9               | 0              
13    | sim     | 3.021     | 14     | 10       | 8               | 0              
14    | sim     | 1.576     | 6      | 1        | 6               | 0              
15    | sim     | 5.915     | 22     | 17       | 12              | 0              
16    | sim     | 2.041     | 10     | 7        | 5               | 0              
17    | sim     | 4.952     | 23     | 19       | 6               | 0              
18    | não     | 2.246     | 9      | 6        | 6               | 1              
19    | sim     | 3.102     | 14     | 10       | 8               | 0              
20    | sim     | 4.609     | 22     | 16       | 13              | 0              
21    | sim     | 1.665     | 8      | 3        | 8               | 0              
22    | sim     | 1.023     | 5      | 0        | 8               | 0              
23    | sim     | 1.746     | 6      | 2        | 9               | 0              
24    | sim     | 3.951     | 13     | 9        | 7               | 0              
25    | não     | 1.275     | 3      | 0        | 6               | 1              
26    | sim     | 1.519     | 5      | 1        | 8               | 0              
27    | sim     | 1.180     | 3      | 0        | 5               | 0              
28    | sim     | 1.214     | 4      | 0        | 11              | 0              
29    | sim     | 7.760     | 34     | 28       | 12              | 0              
30    | sim     | 5.300     | 23     | 17       | 13              | 0              
31    | sim     | 2.097     | 8      | 3        | 11              | 0              
